# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
21 OMC23_20181004_00052_850 "2018-10-04 13:26:22.004321" 2458396.059976902 00052 56.0 0.117 0.01075 Jy/bm 1.1011799977308105 0.01386466178058312 2.698128716870409 -5.585363830195256
22 OMC23_20181102_00039_850 "2018-11-02 10:32:44.998019" 2458424.9394096993 00039 46.0 0.112 0.01171 Jy/bm 1.0066201578067466 0.01480308200480743 0.96064757249005 -4.099447746514483
23 OMC23_20181203_00055_850 "2018-12-03 10:55:43.000281" 2458455.9553587995 00055 64.0 0.085 0.007756 Jy/bm 1.162422771408538 0.0033501972023503223 0.15409355242206285 -3.605813019157763
24 OMC23_20190102_00031_850 "2019-01-02 09:20:58.001304" 2458485.8895602003 00031 63.0 0.099 0.008567 Jy/bm 1.1247138437887327 0.004349943746993407 0.25421549541444244 -1.8922885792843978
25 OMC23_20190205_00037_850 "2019-02-05 08:45:31.999719" 2458519.8649537005 00037 51.0 0.053 0.008279 Jy/bm 1.087023950896621 0.009766193552998478 1.825919302483021 -2.7447586890300792
26 OMC23_20190310_00014_850 "2019-03-10 04:42:08.999949" 2458552.6959374994 00014 64.0 0.076 0.01266 Jy/bm 0.8204226479060308 0.009135254658124823 2.3342556318268204 -4.088806713160675
27 OMC23_20190407_00011_850 "2019-04-07 04:43:29.999871" 2458580.6968749985 00011 54.0 0.071 0.01154 Jy/bm 0.9485466391190089 0.010460220068092076 4.8187408069734525 -2.7827833730784546
28 OMC23_20190812_00093_850 "2019-08-12 16:47:54.003911" 2458708.199930601 00093 56.0 0.101 0.009675 Jy/bm 1.103382559579054 0.011538522847524104 3.727769123002397 -3.581441171135578
29 OMC23_20190909_00061_850 "2019-09-09 15:44:57.001827" 2458736.156215299 00061 62.0 0.065 0.008478 Jy/bm 1.1318102706299222 0.012280329651175804 2.7212765191947548 -3.080639727759577
30 OMC23_20191009_00037_850 "2019-10-09 12:08:19.996805" 2458766.005787 00037 43.0 0.091 0.01108 Jy/bm 1.0001677401924833 0.01885139974581014 1.9727203095265238 -2.960674549228463
31 OMC23_20191111_00044_850 "2019-11-11 09:52:56.003373" 2458798.9117592983 00044 46.0 0.116 0.01181 Jy/bm 1.0396715459992028 0.009042368341814145 3.987834955769582 -0.9627898797167411
